March,"Total
Hours","Billed
Hours","Pro Bono
Hours","Total Services
Billed","Total Expenses
Billed",data/pdfs/page-4/2022/March+2022+Invoice+Package(55204510.1).pdf
Villasenor,121.6,95.6,26.0,"$22,466.00","$1,906.20",data/pdfs/page-4/2022/March+2022+Invoice+Package(55204510.1).pdf
Neighborhood Liaisons,70.5,69.5,1.0,"$1,390.00",$150.00,data/pdfs/page-4/2022/March+2022+Invoice+Package(55204510.1).pdf
Watts,15.6,15.6,0.0,"$3,666.00",$0.00,data/pdfs/page-4/2022/March+2022+Invoice+Package(55204510.1).pdf
Dupont,17.1,15.1,2.0,"$3,548.50",$0.00,data/pdfs/page-4/2022/March+2022+Invoice+Package(55204510.1).pdf
Bowman,3.3,3.3,0.0,$775.50,$0.00,data/pdfs/page-4/2022/March+2022+Invoice+Package(55204510.1).pdf
Total,607.0,541.6,65.4,"$131,370.50","$2,337.31",data/pdfs/page-4/2022/March+2022+Invoice+Package(55204510.1).pdf
June,"Total
Hours","Billed
Hours","Pro Bono
Hours","Total Services
Billed","Total Expenses
Billed",data/pdfs/page-4/2022/_June+2022+Invoice+Package_FINAL.pdf
Thompson,59.5,44.1,15.4,"$20,947.50",$0.00,data/pdfs/page-4/2022/_June+2022+Invoice+Package_FINAL.pdf
Rosenthal,35.3,20.3,15.0,"$9,642.50",$0.00,data/pdfs/page-4/2022/_June+2022+Invoice+Package_FINAL.pdf
Aden,39.5,37.7,1.8,"$8,859.50",$28.00,data/pdfs/page-4/2022/_June+2022+Invoice+Package_FINAL.pdf
Barge,22.7,20.5,2.2,"$4,817.50",$281.11,data/pdfs/page-4/2022/_June+2022+Invoice+Package_FINAL.pdf
CJI: Wasileski,21.0,21.0,0.0,"$4,935.00",$0.00,data/pdfs/page-4/2022/_June+2022+Invoice+Package_FINAL.pdf
CJI: Zafft,12.0,12.0,0.0,"$2,040.00",$0.00,data/pdfs/page-4/2022/_June+2022+Invoice+Package_FINAL.pdf
Sibley,1.0,1.0,0.0,$175.00,$0.00,data/pdfs/page-4/2022/_June+2022+Invoice+Package_FINAL.pdf
Donegan,9.0,9.0,0.0,"$1,530.00",$0.00,data/pdfs/page-4/2022/_June+2022+Invoice+Package_FINAL.pdf
Drake,1.2,1.2,0.0,$282.00,$853.30,data/pdfs/page-4/2022/_June+2022+Invoice+Package_FINAL.pdf
Goodrich,1.0,1.0,0.0,$235.00,$0.00,data/pdfs/page-4/2022/_June+2022+Invoice+Package_FINAL.pdf
Joyce,6.1,6.1,0.0,"$1,433.50",$0.00,data/pdfs/page-4/2022/_June+2022+Invoice+Package_FINAL.pdf
Meares,1.8,1.8,0.0,$423.00,$0.00,data/pdfs/page-4/2022/_June+2022+Invoice+Package_FINAL.pdf
McDonough,46.4,40.1,6.3,"$9,423.50",$0.00,data/pdfs/page-4/2022/_June+2022+Invoice+Package_FINAL.pdf
O'Toole,4.7,4.7,0.0,"$1,104.50",$0.00,data/pdfs/page-4/2022/_June+2022+Invoice+Package_FINAL.pdf
Ramsey,51.0,51.0,0.0,"$11,985.00",$247.91,data/pdfs/page-4/2022/_June+2022+Invoice+Package_FINAL.pdf
Sargent,10.5,9.5,1.0,"$2,232.50",$0.00,data/pdfs/page-4/2022/_June+2022+Invoice+Package_FINAL.pdf
Smoot,7.5,7.5,0.0,"$1,762.50",$0.00,data/pdfs/page-4/2022/_June+2022+Invoice+Package_FINAL.pdf
Rahr,1.0,1.0,0.0,$235.00,$0.00,data/pdfs/page-4/2022/_June+2022+Invoice+Package_FINAL.pdf
Wilfong,3.0,2.0,1.0,$470.00,$0.00,data/pdfs/page-4/2022/_June+2022+Invoice+Package_FINAL.pdf
Villasenor,20.7,20.7,0.0,"$4,864.50",$0.00,data/pdfs/page-4/2022/_June+2022+Invoice+Package_FINAL.pdf
Watts,10.0,10.0,0.0,"$2,350.00",$101.76,data/pdfs/page-4/2022/_June+2022+Invoice+Package_FINAL.pdf
Dupont,20.0,16.9,3.1,"$3,971.50",$0.00,data/pdfs/page-4/2022/_June+2022+Invoice+Package_FINAL.pdf
Bowman,26.0,26.0,0.0,"$6,110.00",$0.00,data/pdfs/page-4/2022/_June+2022+Invoice+Package_FINAL.pdf
Warren,0.0,0.0,0.0,0.0,"$4,827.00",data/pdfs/page-4/2022/_June+2022+Invoice+Package_FINAL.pdf
Morgan State,0.0,0.0,0.0,0.0,"$35,622.51",data/pdfs/page-4/2022/_June+2022+Invoice+Package_FINAL.pdf
Total,410.9,365.1,45.8,"$99,829.50","$41,961.59",data/pdfs/page-4/2022/_June+2022+Invoice+Package_FINAL.pdf
February,"Total
Hours","Billed
Hours","Pro Bono
Hours","Total Services
Billed","Total Expenses
Billed",data/pdfs/page-4/2022/Final+Invoice+Package+February+2022(55493789.1).pdf
Thompson,50.0,41.8,8.2,"$19,855.00",$0.00,data/pdfs/page-4/2022/Final+Invoice+Package+February+2022(55493789.1).pdf
Rosenthal,66.1,42.1,24.0,"$19,997.50",$0.00,data/pdfs/page-4/2022/Final+Invoice+Package+February+2022(55493789.1).pdf
Aden,31.7,27.4,4.3,"$6,439.00",$0.00,data/pdfs/page-4/2022/Final+Invoice+Package+February+2022(55493789.1).pdf
Barge,17.9,16.1,1.8,"$3,783.50",$281.11,data/pdfs/page-4/2022/Final+Invoice+Package+February+2022(55493789.1).pdf
CJI: Zafft,7.5,7.5,0.0,"$1,275.00",$0.00,data/pdfs/page-4/2022/Final+Invoice+Package+February+2022(55493789.1).pdf
Donegan,30.5,30.5,0.0,"$5,185.00",$0.00,data/pdfs/page-4/2022/Final+Invoice+Package+February+2022(55493789.1).pdf
Drake (Exec. Ass't),3.0,3.0,0.0,$112.50,$0.00,data/pdfs/page-4/2022/Final+Invoice+Package+February+2022(55493789.1).pdf
Drake,3.5,2.5,1.0,$587.50,$0.00,data/pdfs/page-4/2022/Final+Invoice+Package+February+2022(55493789.1).pdf
Joyce,19.2,19.2,0.0,"$4,512.00",$824.66,data/pdfs/page-4/2022/Final+Invoice+Package+February+2022(55493789.1).pdf
McDonough,41.9,34.6,7.3,"$8,131.00",$0.00,data/pdfs/page-4/2022/Final+Invoice+Package+February+2022(55493789.1).pdf
O'Toole,19.8,19.8,0.0,"$4,653.00",$0.00,data/pdfs/page-4/2022/Final+Invoice+Package+February+2022(55493789.1).pdf
Ramsey,53.3,52.8,0.5,"$12,408.00",$0.00,data/pdfs/page-4/2022/Final+Invoice+Package+February+2022(55493789.1).pdf
Sargent,30.1,26.6,3.5,"$6,251.00",$0.00,data/pdfs/page-4/2022/Final+Invoice+Package+February+2022(55493789.1).pdf
Smoot,5.5,5.5,0.0,"$1,292.50",$0.00,data/pdfs/page-4/2022/Final+Invoice+Package+February+2022(55493789.1).pdf
Villasenor,81.1,77.5,3.6,"$18,212.50",$0.00,data/pdfs/page-4/2022/Final+Invoice+Package+February+2022(55493789.1).pdf
M. Roberts III,20.6,20.6,0.0,"$1,545.00",$0.00,data/pdfs/page-4/2022/Final+Invoice+Package+February+2022(55493789.1).pdf
Neighborhood Liaisons,47.5,47.5,0.0,$950.00,$100.00,data/pdfs/page-4/2022/Final+Invoice+Package+February+2022(55493789.1).pdf
Watts,9.8,7.8,2.0,"$1,833.00",$0.00,data/pdfs/page-4/2022/Final+Invoice+Package+February+2022(55493789.1).pdf
Dupont,31.7,24.2,7.5,"$5,687.00",$0.00,data/pdfs/page-4/2022/Final+Invoice+Package+February+2022(55493789.1).pdf
Bowman,5.4,5.4,0.0,"$1,269.00",$0.00,data/pdfs/page-4/2022/Final+Invoice+Package+February+2022(55493789.1).pdf
Total,576.1,512.4,63.7,"$123,979.00","$1,205.77",data/pdfs/page-4/2022/Final+Invoice+Package+February+2022(55493789.1).pdf
May,"Total
Hours","Billed
Hours","Pro Bono
Hours","Total Services
Billed","Total Expenses
Billed",data/pdfs/page-4/2022/_May+2022+Inovice+Package_FINAL.pdf
Thompson,42.6,30.0,12.6,"$14,250.00",$0.00,data/pdfs/page-4/2022/_May+2022+Inovice+Package_FINAL.pdf
Rosenthal,69.6,51.2,18.4,"$24,320.00",$0.00,data/pdfs/page-4/2022/_May+2022+Inovice+Package_FINAL.pdf
Aden,36.9,33.6,3.3,"$7,896.00",$28.00,data/pdfs/page-4/2022/_May+2022+Inovice+Package_FINAL.pdf
Barge,15.5,14.0,1.5,"$3,290.00",$281.11,data/pdfs/page-4/2022/_May+2022+Inovice+Package_FINAL.pdf
CJI: Wasileski,15.0,15.0,0.0,"$3,525.00",$0.00,data/pdfs/page-4/2022/_May+2022+Inovice+Package_FINAL.pdf
CJI: Zafft,8.0,8.0,0.0,"$1,360.00",$0.00,data/pdfs/page-4/2022/_May+2022+Inovice+Package_FINAL.pdf
Django,9.0,9.0,0.0,"$1,575.00",$0.00,data/pdfs/page-4/2022/_May+2022+Inovice+Package_FINAL.pdf
Donegan,9.9,9.9,0.0,"$1,683.00",$0.00,data/pdfs/page-4/2022/_May+2022+Inovice+Package_FINAL.pdf
Drake,8.2,8.2,0.0,"$1,927.00",$0.00,data/pdfs/page-4/2022/_May+2022+Inovice+Package_FINAL.pdf
Joyce,15.4,15.4,0.0,"$3,619.00",$0.00,data/pdfs/page-4/2022/_May+2022+Inovice+Package_FINAL.pdf
McDonough,37.0,33.9,3.1,"$7,966.50",$0.00,data/pdfs/page-4/2022/_May+2022+Inovice+Package_FINAL.pdf
O'Toole,14.0,14.0,0.0,"$3,290.00",$0.00,data/pdfs/page-4/2022/_May+2022+Inovice+Package_FINAL.pdf
Ramsey,31.0,31.0,0.0,"$7,285.00",$0.00,data/pdfs/page-4/2022/_May+2022+Inovice+Package_FINAL.pdf
Sargent,15.0,12.5,2.5,"$2,937.50",$0.00,data/pdfs/page-4/2022/_May+2022+Inovice+Package_FINAL.pdf
Smoot,7.5,7.5,0.0,"$1,762.50",$0.00,data/pdfs/page-4/2022/_May+2022+Inovice+Package_FINAL.pdf
Villasenor,51.9,50.1,1.8,"$11,773.50",$0.00,data/pdfs/page-4/2022/_May+2022+Inovice+Package_FINAL.pdf
Watts,6.3,6.3,0.0,"$1,480.50",$0.00,data/pdfs/page-4/2022/_May+2022+Inovice+Package_FINAL.pdf
Dupont,17.6,13.9,3.7,"$3,266.50",$0.00,data/pdfs/page-4/2022/_May+2022+Inovice+Package_FINAL.pdf
Bowman,27.0,27.0,0.0,"6,345.00","1,151.12",data/pdfs/page-4/2022/_May+2022+Inovice+Package_FINAL.pdf
Total,437.4,390.5,46.9,"$109,552.00","$1,460.23",data/pdfs/page-4/2022/_May+2022+Inovice+Package_FINAL.pdf
August,"Total
Hours","Billed
Hours","Pro Bono
Hours","Total Services
Billed","Total Expenses
Billed",data/pdfs/page-4/2022/August+2022+Invoice+Packet_FINAL.pdf
Rosenthal,63.6,46.4,17.2,"$22,040.00",$0.00,data/pdfs/page-4/2022/August+2022+Invoice+Packet_FINAL.pdf
Thompson,79.4,62.6,16.8,"$29,735.00",$0.00,data/pdfs/page-4/2022/August+2022+Invoice+Packet_FINAL.pdf
Aden,47.7,46.6,1.1,"$10,951.00",$0.00,data/pdfs/page-4/2022/August+2022+Invoice+Packet_FINAL.pdf
Barge,23.7,21.4,2.3,"$5,029.00",$281.11,data/pdfs/page-4/2022/August+2022+Invoice+Packet_FINAL.pdf
Bowman,54.3,40.3,14.0,"$9,470.50",$819.10,data/pdfs/page-4/2022/August+2022+Invoice+Packet_FINAL.pdf
CJI: Wasileski,30.0,30.0,0.0,"$7,050.00",$0.00,data/pdfs/page-4/2022/August+2022+Invoice+Packet_FINAL.pdf
CJI: Zafft,35.8,35.8,0.0,"$6,086.00",$0.00,data/pdfs/page-4/2022/August+2022+Invoice+Packet_FINAL.pdf
Donegan,21.9,21.9,0.0,"$3,723.00",$0.00,data/pdfs/page-4/2022/August+2022+Invoice+Packet_FINAL.pdf
Drake,13.0,13.0,0.0,"$3,055.00",$0.00,data/pdfs/page-4/2022/August+2022+Invoice+Packet_FINAL.pdf
Dupont,23.6,18.8,4.8,"$4,418.00",$0.00,data/pdfs/page-4/2022/August+2022+Invoice+Packet_FINAL.pdf
Goodrich,1.0,1.0,0.0,$235.00,$0.00,data/pdfs/page-4/2022/August+2022+Invoice+Packet_FINAL.pdf
McDonough,41.5,39.0,2.5,"$9,165.00",$0.00,data/pdfs/page-4/2022/August+2022+Invoice+Packet_FINAL.pdf
Meares,16.5,10.0,6.5,"$2,350.00",$538.53,data/pdfs/page-4/2022/August+2022+Invoice+Packet_FINAL.pdf
Nola,21.1,21.1,0.0,"$4,958.50",$214.55,data/pdfs/page-4/2022/August+2022+Invoice+Packet_FINAL.pdf
Rahr,11.5,11.5,0,"$2,702.50",$0.00,data/pdfs/page-4/2022/August+2022+Invoice+Packet_FINAL.pdf
Ramsey,37.1,37.1,0,"$8,718.50",$280.06,data/pdfs/page-4/2022/August+2022+Invoice+Packet_FINAL.pdf
Smoot,3.8,3.8,0,$893.00,$0.00,data/pdfs/page-4/2022/August+2022+Invoice+Packet_FINAL.pdf
Villasenor,28.9,24.9,4,"$5,851.50",$0.00,data/pdfs/page-4/2022/August+2022+Invoice+Packet_FINAL.pdf
Watts,25.6,25.6,0,"$6,016.00",$163.90,data/pdfs/page-4/2022/August+2022+Invoice+Packet_FINAL.pdf
Wilfong,23.8,23.8,0,"$5,593.00",$0.00,data/pdfs/page-4/2022/August+2022+Invoice+Packet_FINAL.pdf
"The University of
Toronto",0,0,0,$0.00,"$9,622.80",data/pdfs/page-4/2022/August+2022+Invoice+Packet_FINAL.pdf
Total,603.8,534.6,69.2,"$148,040.50","$11,920.05",data/pdfs/page-4/2022/August+2022+Invoice+Packet_FINAL.pdf
September,"Total
Hours","Billed
Hours","Pro
Bono
Hours","Total
Services
Billed","Total
Expenses
Billed",data/pdfs/page-4/2022/_September+2022+FINAL.pdf
Rosenthal,89.2,69.6,19.6,"$33,060.00",$0.00,data/pdfs/page-4/2022/_September+2022+FINAL.pdf
Thompson,66.5,51.4,15.1,"$24,415.00",$0.00,data/pdfs/page-4/2022/_September+2022+FINAL.pdf
Aden,26.9,26,0.9,"$6,110.00",$0.00,data/pdfs/page-4/2022/_September+2022+FINAL.pdf
Barge,39.3,35.9,3.4,"$8,436.50",$364.11,data/pdfs/page-4/2022/_September+2022+FINAL.pdf
Bowman,3.5,3.5,0,$822.50,$0.00,data/pdfs/page-4/2022/_September+2022+FINAL.pdf
CJI: Wasileski,25,25,0,"$5,875.00",$0.00,data/pdfs/page-4/2022/_September+2022+FINAL.pdf
CJI: Zafft,7.5,7.5,0,"$1,275.00",$0.00,data/pdfs/page-4/2022/_September+2022+FINAL.pdf
Drake (CE),1,1,0,$235.00,$0.00,data/pdfs/page-4/2022/_September+2022+FINAL.pdf
Drake (Admin),2.5,2.5,0,$93.75,$0.00,data/pdfs/page-4/2022/_September+2022+FINAL.pdf
Dupont,36.8,18.9,17.9,"$4,441.50",$982.96,data/pdfs/page-4/2022/_September+2022+FINAL.pdf
Goodrich,1,1,0,$235.00,$0.00,data/pdfs/page-4/2022/_September+2022+FINAL.pdf
McDonough,50.9,42.2,8.7,"$9,917.00",$587.17,data/pdfs/page-4/2022/_September+2022+FINAL.pdf
Joyce,16.8,16.8,0,"$3,948.00",$209.55,data/pdfs/page-4/2022/_September+2022+FINAL.pdf
Rahr,9,9,0,"$2,115.00",$0.00,data/pdfs/page-4/2022/_September+2022+FINAL.pdf
Ramsey,13,13,0,"$3,055.00",$0.00,data/pdfs/page-4/2022/_September+2022+FINAL.pdf
Smoot,4.3,4.3,0,"$1,010.50",$0.00,data/pdfs/page-4/2022/_September+2022+FINAL.pdf
Villasenor,60.2,41.2,19,"$9,682.00","$1,721.88",data/pdfs/page-4/2022/_September+2022+FINAL.pdf
Watts,13.5,13.5,0,"$3,172.50",$0.00,data/pdfs/page-4/2022/_September+2022+FINAL.pdf
Wilfong,9.5,9.5,0,"$2,232.50",$0.00,data/pdfs/page-4/2022/_September+2022+FINAL.pdf
"Otis Warren
Mgmt. Co.",0,0,0,$0.00,$963.00,data/pdfs/page-4/2022/_September+2022+FINAL.pdf
Total,476.4,391.8,84.6,"$120,131.75","$4,828.67",data/pdfs/page-4/2022/_September+2022+FINAL.pdf
December,"Total
Hours","Billed
Hours","Pro
Bono
Hours","Total
Services
Billed","Total
Expenses
Billed",data/pdfs/page-4/2022/_December+2022+FINAL.pdf
Rosenthal,52.1,27.6,24.50,"$13,110.00",$0.00,data/pdfs/page-4/2022/_December+2022+FINAL.pdf
Thompson,77.9,61.0,16.90,"$28,975.00",$0.00,data/pdfs/page-4/2022/_December+2022+FINAL.pdf
Aden,29.5,28.2,1.30,"$6,627.00",$0.00,data/pdfs/page-4/2022/_December+2022+FINAL.pdf
Barge,24.3,21.9,2.40,"$5,146.50",$0.00,data/pdfs/page-4/2022/_December+2022+FINAL.pdf
Bowman,17.0,17.0,0.00,"$3,995.00",$0.00,data/pdfs/page-4/2022/_December+2022+FINAL.pdf
CJI: Wasileski,13.5,13.5,0.00,"$3,172.50",$0.00,data/pdfs/page-4/2022/_December+2022+FINAL.pdf
CJI: Zafft,20.5,20.5,0.00,"$4,817.50",$0.00,data/pdfs/page-4/2022/_December+2022+FINAL.pdf
Cole,5.4,4.1,1.30,$963.50,$0.00,data/pdfs/page-4/2022/_December+2022+FINAL.pdf
Dixon,1.0,1.0,0.00,$235.00,$0.00,data/pdfs/page-4/2022/_December+2022+FINAL.pdf
Drake (Admin),5.2,5.2,0.00,$195.00,$0.00,data/pdfs/page-4/2022/_December+2022+FINAL.pdf
Drake (CE),3.2,3.2,0.00,$752.00,$0.00,data/pdfs/page-4/2022/_December+2022+FINAL.pdf
Dupont,12.5,8.7,3.76,"$2,044.50",$0.00,data/pdfs/page-4/2022/_December+2022+FINAL.pdf
Gushes,3.0,3.0,0.00,$705.00,$0.00,data/pdfs/page-4/2022/_December+2022+FINAL.pdf
Joyce,8.7,8.7,0.00,"$2,044.50",$0.00,data/pdfs/page-4/2022/_December+2022+FINAL.pdf
Meares,9.1,9.1,0.00,"$2,138.50",$0.00,data/pdfs/page-4/2022/_December+2022+FINAL.pdf
Rahr,2.0,2.0,0.00,$470.00,$0.00,data/pdfs/page-4/2022/_December+2022+FINAL.pdf
Ramsey,8.8,8.8,0.00,"$2,068.00",$0.00,data/pdfs/page-4/2022/_December+2022+FINAL.pdf
Villasenor,21.8,19.5,2.30,"$4,582.50",$0.00,data/pdfs/page-4/2022/_December+2022+FINAL.pdf
Wilfong,25.0,25.0,0.00,"$5,875.00",$0.00,data/pdfs/page-4/2022/_December+2022+FINAL.pdf
The University of Toronto,0.0,0.0,0.00,$0.00,"$19,245.59",data/pdfs/page-4/2022/_December+2022+FINAL.pdf
Total,340.5,288.0,52.46,"$87,917.00","$19,245.59",data/pdfs/page-4/2022/_December+2022+FINAL.pdf
January,"Total
Hours","Billed
Hours","Pro Bono
Hours","Total Services
Billed","Total Expenses
Billed",data/pdfs/page-4/2022/January+2022+Final+Invoice+Package(54866167.1).pdf
Thompson,41.5,33.8,7.7,"$16,055.00",$0.00,data/pdfs/page-4/2022/January+2022+Final+Invoice+Package(54866167.1).pdf
Rosenthal,102.5,79.0,23.5,"$37,525.00",$0.00,data/pdfs/page-4/2022/January+2022+Final+Invoice+Package(54866167.1).pdf
Aden,45.4,41.4,4.0,"$9,729.00",$0.00,data/pdfs/page-4/2022/January+2022+Final+Invoice+Package(54866167.1).pdf
Barge,32.8,29.6,3.2,"$6,956.00",$281.11,data/pdfs/page-4/2022/January+2022+Final+Invoice+Package(54866167.1).pdf
CJI: Cole,0.5,0.5,0.0,$117.50,$0.00,data/pdfs/page-4/2022/January+2022+Final+Invoice+Package(54866167.1).pdf
CJI: Wasileski,5.0,5.0,0.0,"$1,175.00",$0.00,data/pdfs/page-4/2022/January+2022+Final+Invoice+Package(54866167.1).pdf
CJI: Zafft,1.8,1.8,0.0,$306.00,$0.00,data/pdfs/page-4/2022/January+2022+Final+Invoice+Package(54866167.1).pdf
Donegan,4.0,4.0,0.0,$680.00,$0.00,data/pdfs/page-4/2022/January+2022+Final+Invoice+Package(54866167.1).pdf
Drake (Exec. Ass't),10.0,10.0,0.0,$375.00,$0.00,data/pdfs/page-4/2022/January+2022+Final+Invoice+Package(54866167.1).pdf
Drake,15.5,11.5,4.0,"$2,702.50",$0.00,data/pdfs/page-4/2022/January+2022+Final+Invoice+Package(54866167.1).pdf
Joyce,10.6,10.6,0.0,"$2,491.00",$0.00,data/pdfs/page-4/2022/January+2022+Final+Invoice+Package(54866167.1).pdf
McDonough,43.6,37.3,6.3,"$8,765.50",$0.00,data/pdfs/page-4/2022/January+2022+Final+Invoice+Package(54866167.1).pdf
O'Toole,26.6,26.6,0.0,"$6,251.00",$0.00,data/pdfs/page-4/2022/January+2022+Final+Invoice+Package(54866167.1).pdf
Ramsey,48.0,48.0,0.0,"$11,280.00",$0.00,data/pdfs/page-4/2022/January+2022+Final+Invoice+Package(54866167.1).pdf
Sargent,15.0,9.0,6.0,"$2,115.00",$0.00,data/pdfs/page-4/2022/January+2022+Final+Invoice+Package(54866167.1).pdf
Smoot,14.8,14.8,0.0,"$3,478.00",$0.00,data/pdfs/page-4/2022/January+2022+Final+Invoice+Package(54866167.1).pdf
Villasenor,35.7,33.2,2.5,"$7,802.00",$0.00,data/pdfs/page-4/2022/January+2022+Final+Invoice+Package(54866167.1).pdf
M. Roberts III,59.7,59.7,0.0,"$4,477.50",$0.00,data/pdfs/page-4/2022/January+2022+Final+Invoice+Package(54866167.1).pdf
Neighborhood Liaisons,65.1,64.1,1.0,"$1,282.00",$125.00,data/pdfs/page-4/2022/January+2022+Final+Invoice+Package(54866167.1).pdf
Watts,17.9,13.6,4.3,"$3,196.00",$0.00,data/pdfs/page-4/2022/January+2022+Final+Invoice+Package(54866167.1).pdf
Dupont,14.5,10.0,4.5,"$2,350.00",$0.00,data/pdfs/page-4/2022/January+2022+Final+Invoice+Package(54866167.1).pdf
Bowman,10.3,10.3,0.0,"$2,420.50",$0.00,data/pdfs/page-4/2022/January+2022+Final+Invoice+Package(54866167.1).pdf
Total,620.8,553.8,67.0,"$131,529.50",$406.11,data/pdfs/page-4/2022/January+2022+Final+Invoice+Package(54866167.1).pdf
April,"Total
Hours","Billed
Hours","Pro Bono
Hours","Total Services
Billed","Total Expenses
Billed",data/pdfs/page-4/2022/April+2022+Invoice+Package_Final.pdf
Thompson,52.6,42.2,10.4,"$20,045.00",$0.00,data/pdfs/page-4/2022/April+2022+Invoice+Package_Final.pdf
Rosenthal,44.2,28.1,16.1,"$13,347.50",$0.00,data/pdfs/page-4/2022/April+2022+Invoice+Package_Final.pdf
Aden,51.1,45.8,5.3,"$10,763.00",$34.00,data/pdfs/page-4/2022/April+2022+Invoice+Package_Final.pdf
Barge,20.1,18.3,1.8,"$4,300.50",$283.91,data/pdfs/page-4/2022/April+2022+Invoice+Package_Final.pdf
CJI: Lawrence,2.5,2.5,0.0,$425.00,$0.00,data/pdfs/page-4/2022/April+2022+Invoice+Package_Final.pdf
CJI: Wasileski,9.0,9.0,0.0,"$2,115.00",$0.00,data/pdfs/page-4/2022/April+2022+Invoice+Package_Final.pdf
CJI: Zafft,7.5,7.5,0.0,"$1,275.00",$0.00,data/pdfs/page-4/2022/April+2022+Invoice+Package_Final.pdf
Django,6.0,6.0,0.0,"$1,300.00",$0.00,data/pdfs/page-4/2022/April+2022+Invoice+Package_Final.pdf
Donegan,22.2,22.2,0.0,"$3,774.00",$0.00,data/pdfs/page-4/2022/April+2022+Invoice+Package_Final.pdf
Drake (Exec. Ass't),2.0,2.0,0.0,$75.00,$0.00,data/pdfs/page-4/2022/April+2022+Invoice+Package_Final.pdf
Drake,6.0,6.0,0.0,"$1,410.00",$0.00,data/pdfs/page-4/2022/April+2022+Invoice+Package_Final.pdf
Joyce,20.5,20.5,0.0,"$4,817.50",$0.00,data/pdfs/page-4/2022/April+2022+Invoice+Package_Final.pdf
McDonough,32.3,30.8,1.5,"$7,238.00",$0.00,data/pdfs/page-4/2022/April+2022+Invoice+Package_Final.pdf
O'Toole,2.0,2.0,0.0,$470.00,$0.00,data/pdfs/page-4/2022/April+2022+Invoice+Package_Final.pdf
Ramsey,80.0,80.0,0.0,"$18,800.00",$0.00,data/pdfs/page-4/2022/April+2022+Invoice+Package_Final.pdf
Sargent,12.5,10.5,2.0,"$2,467.50",$0.00,data/pdfs/page-4/2022/April+2022+Invoice+Package_Final.pdf
Smoot,17.0,17.0,0.0,"$3,995.00",$0.00,data/pdfs/page-4/2022/April+2022+Invoice+Package_Final.pdf
Villasenor,83.5,56.4,27.1,"$13,254.00","$1,799.21",data/pdfs/page-4/2022/April+2022+Invoice+Package_Final.pdf
Watts,28.8,28.8,0.0,"$6,768.00",$0.00,data/pdfs/page-4/2022/April+2022+Invoice+Package_Final.pdf
Dupont,45.1,22.5,22.6,"$5,287.50","$1,119.74",data/pdfs/page-4/2022/April+2022+Invoice+Package_Final.pdf
Bowman,34.9,34.9,0.0,"$8,201.50",$0.00,data/pdfs/page-4/2022/April+2022+Invoice+Package_Final.pdf
Total,579.8,493.0,86.8,"$130,129.00","$3,236.86",data/pdfs/page-4/2022/April+2022+Invoice+Package_Final.pdf
November,"Total
Hours","Billed
Hours","Pro
Bono
Hours","Total
Services
Billed","Total
Expenses
Billed",data/pdfs/page-4/2022/_November+2022+FINAL01.pdf
